Time,Auto,Athlete,Date,Place
3:55.8,,Abel Kiviat (USA),1912-06-08,"Cambridge, Massachusetts, United States"
3:54.7,,John Zander (SWE),1917-08-05,"Stockholm, Sweden"
3:52.6,,Paavo Nurmi (FIN),1924-06-19,"Helsinki, Finland"
3:51.0,,Otto Peltzer (GER),1926-09-11,"Berlin, Germany"
3:49.2,,Jules Ladoumegue (FRA),1930-10-05,"Paris, France"
3:49.2,,Luigi Beccali (ITA),1933-09-09,"Turin, Italy"
3:49.0,,Luigi Beccali (ITA),1933-09-17,"Milan, Italy"
3:48.8,,Bill Bonthron (USA),1934-06-30,"Milwaukee, United States"
3:47.8,,Jack Lovelock (NZL),1936-08-06,"Berlin, Germany"
3:47.6,,Gunder Hägg (SWE),1941-08-10,"Stockholm, Sweden"
3:45.8,,Gunder Hägg (SWE),1942-07-17,"Stockholm, Sweden"
3:45.0,,Arne Andersson (SWE),1943-08-17,"Gothenburg, Sweden"
3:43.0,,Gunder Hägg (SWE),1944-07-07,"Gothenburg, Sweden"
3:43.0,,Lennart Strand (SWE),1947-07-15,"Malmö, Sweden"
3:43.0,,Werner Lueg (FRG),1952-06-29,"Berlin, Germany"
3:42.8+,,Wes Santee (USA),1954-06-04,"Compton, United States"
3:41.8+,,John Landy (AUS),1954-06-21,"Turku, Finland"
3:40.8,,Sándor Iharos (HUN),1955-07-28,"Helsinki, Finland"
3:40.8,,László Tábori (HUN),1955-09-06,"Oslo, Norway"
3:40.8,,Gunnar Nielsen (DEN),1955-09-06,"Oslo, Norway"
3:40.6,,István Rózsavölgyi (HUN),1956-08-03,"Tata, Hungary"
3:40.2,,Olavi Salsola (FIN),1957-07-11,"Turku, Finland"
3:40.2,,Olavi Salonen (FIN),1957-07-11,"Turku, Finland"
3:38.1,,Stanislav Jungwirth (TCH),1957-07-12,"Stará Boleslav, Czechoslovakia"
3:36.0,,Herb Elliott (AUS),1958-08-28,"Gothenburg, Sweden"
3:35.6,,Herb Elliott (AUS),1960-09-06,"Rome, Italy"
3:33.1,,Jim Ryun (USA),1967-07-08,"Los Angeles, United States"
3:32.2,3:32.16,Filbert Bayi (TAN),1974-02-02,"Christchurch, New Zealand"
3:32.1,3:32.03,Sebastian Coe (GBR),1979-08-15,"Zürich, Switzerland"
3:32.1,3:32.09,Steve Ovett (GBR),1980-07-15,"Oslo, Norway"
3:31.4,3:31.36,Steve Ovett (GBR),1980-08-27,"Koblenz, West Germany"
3:31.24,,Sydney Maree (USA),1983-08-28,"Cologne, West Germany"
3:30.77,,Steve Ovett (GBR),1983-09-04,"Rieti, Italy"
3:29.67,,Steve Cram (GBR),1985-07-16,"Nice, France"
3:29.46,,Saïd Aouita (MAR),1985-08-23,"Berlin, Germany"
3:28.86,,Noureddine Morceli (ALG),1992-09-06,"Rieti, Italy"
3:27.37,,Noureddine Morceli (ALG),1995-07-12,"Nice, France"
3:26.00,,Hicham El Guerrouj (MAR),1998-07-14,"Rome, Italy"
